date,region,product,category,units_sold,unit_price,revenue,sales_rep,customer_segment
2024-01-05,North,Aurora Laptop,Electronics,12,1299.00,15588.00,Maya Chen,Enterprise
2024-01-08,South,Nimbus Headphones,Electronics,45,149.00,6705.00,Jordan Lee,Consumer
2024-01-12,West,Cascade Desk,Furniture,8,429.00,3432.00,Priya Shah,SMB
2024-01-15,East,Lumen Monitor,Electronics,22,379.00,8338.00,Alex Rivera,Enterprise
2024-01-18,North,Harbor Chair,Furniture,30,189.00,5670.00,Maya Chen,Consumer
2024-01-22,South,Pulse Keyboard,Electronics,60,89.00,5340.00,Jordan Lee,SMB
2024-01-25,West,Aurora Laptop,Electronics,9,1299.00,11691.00,Sam Ortiz,Enterprise
2024-01-28,East,Nimbus Headphones,Electronics,38,149.00,5662.00,Alex Rivera,Consumer
2024-02-02,North,Cascade Desk,Furniture,11,429.00,4719.00,Maya Chen,SMB
2024-02-06,South,Lumen Monitor,Electronics,18,379.00,6822.00,Jordan Lee,Enterprise
2024-02-09,West,Harbor Chair,Furniture,25,189.00,4725.00,Priya Shah,Consumer
2024-02-13,East,Pulse Keyboard,Electronics,55,89.00,4895.00,Alex Rivera,SMB
2024-02-16,North,Aurora Laptop,Electronics,15,1299.00,19485.00,Maya Chen,Enterprise
2024-02-20,South,Nimbus Headphones,Electronics,50,149.00,7450.00,Jordan Lee,Consumer
2024-02-23,West,Cascade Desk,Furniture,7,429.00,3003.00,Sam Ortiz,SMB
2024-02-27,East,Lumen Monitor,Electronics,28,379.00,10612.00,Alex Rivera,Enterprise
2024-03-03,North,Harbor Chair,Furniture,35,189.00,6615.00,Maya Chen,Consumer
2024-03-07,South,Pulse Keyboard,Electronics,70,89.00,6230.00,Jordan Lee,SMB
2024-03-10,West,Aurora Laptop,Electronics,11,1299.00,14289.00,Priya Shah,Enterprise
2024-03-14,East,Nimbus Headphones,Electronics,42,149.00,6258.00,Alex Rivera,Consumer
2024-03-17,North,Cascade Desk,Furniture,14,429.00,6006.00,Maya Chen,SMB
2024-03-21,South,Lumen Monitor,Electronics,20,379.00,7580.00,Jordan Lee,Enterprise
2024-03-24,West,Harbor Chair,Furniture,28,189.00,5292.00,Sam Ortiz,Consumer
2024-03-28,East,Pulse Keyboard,Electronics,65,89.00,5785.00,Alex Rivera,SMB
2024-04-02,North,Aurora Laptop,Electronics,18,1299.00,23382.00,Maya Chen,Enterprise
2024-04-05,South,Nimbus Headphones,Electronics,55,149.00,8195.00,Jordan Lee,Consumer
2024-04-09,West,Cascade Desk,Furniture,10,429.00,4290.00,Priya Shah,SMB
2024-04-12,East,Lumen Monitor,Electronics,32,379.00,12128.00,Alex Rivera,Enterprise
2024-04-16,North,Harbor Chair,Furniture,40,189.00,7560.00,Maya Chen,Consumer
2024-04-19,South,Pulse Keyboard,Electronics,80,89.00,7120.00,Jordan Lee,SMB
2024-04-23,West,Aurora Laptop,Electronics,13,1299.00,16887.00,Sam Ortiz,Enterprise
2024-04-26,East,Nimbus Headphones,Electronics,48,149.00,7152.00,Alex Rivera,Consumer
2024-05-01,North,Cascade Desk,Furniture,16,429.00,6864.00,Maya Chen,SMB
2024-05-04,South,Lumen Monitor,Electronics,24,379.00,9096.00,Jordan Lee,Enterprise
2024-05-08,West,Harbor Chair,Furniture,33,189.00,6237.00,Priya Shah,Consumer
2024-05-11,East,Pulse Keyboard,Electronics,72,89.00,6408.00,Alex Rivera,SMB
2024-05-15,North,Aurora Laptop,Electronics,20,1299.00,25980.00,Maya Chen,Enterprise
2024-05-18,South,Nimbus Headphones,Electronics,58,149.00,8642.00,Jordan Lee,Consumer
2024-05-22,West,Cascade Desk,Furniture,12,429.00,5148.00,Sam Ortiz,SMB
2024-05-25,East,Lumen Monitor,Electronics,30,379.00,11370.00,Alex Rivera,Enterprise
2024-05-29,North,Harbor Chair,Furniture,38,189.00,7182.00,Maya Chen,Consumer
2024-06-03,South,Pulse Keyboard,Electronics,85,89.00,7565.00,Jordan Lee,SMB
2024-06-06,West,Aurora Laptop,Electronics,14,1299.00,18186.00,Priya Shah,Enterprise
2024-06-10,East,Nimbus Headphones,Electronics,52,149.00,7748.00,Alex Rivera,Consumer
2024-06-13,North,Cascade Desk,Furniture,15,429.00,6435.00,Maya Chen,SMB
2024-06-17,South,Lumen Monitor,Electronics,26,379.00,9854.00,Jordan Lee,Enterprise
2024-06-20,West,Harbor Chair,Furniture,36,189.00,6804.00,Sam Ortiz,Consumer
2024-06-24,East,Pulse Keyboard,Electronics,78,89.00,6942.00,Alex Rivera,SMB
2024-06-27,North,Aurora Laptop,Electronics,22,1299.00,28578.00,Maya Chen,Enterprise
2024-07-02,South,Nimbus Headphones,Electronics,62,149.00,9238.00,Jordan Lee,Consumer
2024-07-05,West,Cascade Desk,Furniture,9,429.00,3861.00,Priya Shah,SMB
2024-07-09,East,Lumen Monitor,Electronics,35,379.00,13265.00,Alex Rivera,Enterprise
2024-07-12,North,Harbor Chair,Furniture,42,189.00,7938.00,Maya Chen,Consumer
2024-07-16,South,Pulse Keyboard,Electronics,90,89.00,8010.00,Jordan Lee,SMB
2024-07-19,West,Aurora Laptop,Electronics,16,1299.00,20784.00,Sam Ortiz,Enterprise
2024-07-23,East,Nimbus Headphones,Electronics,54,149.00,8046.00,Alex Rivera,Consumer
2024-07-26,North,Cascade Desk,Furniture,18,429.00,7722.00,Maya Chen,SMB
2024-07-30,South,Lumen Monitor,Electronics,28,379.00,10612.00,Jordan Lee,Enterprise
2024-08-03,West,Harbor Chair,Furniture,40,189.00,7560.00,Priya Shah,Consumer
2024-08-06,East,Pulse Keyboard,Electronics,88,89.00,7832.00,Alex Rivera,SMB
2024-08-10,North,Aurora Laptop,Electronics,19,1299.00,24681.00,Maya Chen,Enterprise
2024-08-13,South,Nimbus Headphones,Electronics,60,149.00,8940.00,Jordan Lee,Consumer
2024-08-17,West,Cascade Desk,Furniture,13,429.00,5577.00,Sam Ortiz,SMB
2024-08-20,East,Lumen Monitor,Electronics,33,379.00,12507.00,Alex Rivera,Enterprise
2024-08-24,North,Harbor Chair,Furniture,45,189.00,8505.00,Maya Chen,Consumer
2024-08-27,South,Pulse Keyboard,Electronics,95,89.00,8455.00,Jordan Lee,SMB
2024-09-02,West,Aurora Laptop,Electronics,17,1299.00,22083.00,Priya Shah,Enterprise
2024-09-05,East,Nimbus Headphones,Electronics,56,149.00,8344.00,Alex Rivera,Consumer
2024-09-09,North,Cascade Desk,Furniture,20,429.00,8580.00,Maya Chen,SMB
2024-09-12,South,Lumen Monitor,Electronics,31,379.00,11749.00,Jordan Lee,Enterprise
2024-09-16,West,Harbor Chair,Furniture,37,189.00,6993.00,Sam Ortiz,Consumer
2024-09-19,East,Pulse Keyboard,Electronics,82,89.00,7298.00,Alex Rivera,SMB
2024-09-23,North,Aurora Laptop,Electronics,21,1299.00,27279.00,Maya Chen,Enterprise
2024-09-26,South,Nimbus Headphones,Electronics,64,149.00,9536.00,Jordan Lee,Consumer
2024-09-30,West,Cascade Desk,Furniture,11,429.00,4719.00,Priya Shah,SMB
2024-10-04,East,Lumen Monitor,Electronics,36,379.00,13644.00,Alex Rivera,Enterprise
2024-10-07,North,Harbor Chair,Furniture,48,189.00,9072.00,Maya Chen,Consumer
2024-10-11,South,Pulse Keyboard,Electronics,100,89.00,8900.00,Jordan Lee,SMB
2024-10-14,West,Aurora Laptop,Electronics,15,1299.00,19485.00,Sam Ortiz,Enterprise
2024-10-18,East,Nimbus Headphones,Electronics,59,149.00,8791.00,Alex Rivera,Consumer
2024-10-21,North,Cascade Desk,Furniture,17,429.00,7293.00,Maya Chen,SMB
2024-10-25,South,Lumen Monitor,Electronics,29,379.00,10991.00,Jordan Lee,Enterprise
2024-10-28,West,Harbor Chair,Furniture,41,189.00,7749.00,Priya Shah,Consumer
2024-11-01,East,Pulse Keyboard,Electronics,92,89.00,8188.00,Alex Rivera,SMB
2024-11-05,North,Aurora Laptop,Electronics,24,1299.00,31176.00,Maya Chen,Enterprise
2024-11-08,South,Nimbus Headphones,Electronics,68,149.00,10132.00,Jordan Lee,Consumer
2024-11-12,West,Cascade Desk,Furniture,14,429.00,6006.00,Sam Ortiz,SMB
2024-11-15,East,Lumen Monitor,Electronics,38,379.00,14402.00,Alex Rivera,Enterprise
2024-11-19,North,Harbor Chair,Furniture,50,189.00,9450.00,Maya Chen,Consumer
2024-11-22,South,Pulse Keyboard,Electronics,105,89.00,9345.00,Jordan Lee,SMB
2024-11-26,West,Aurora Laptop,Electronics,18,1299.00,23382.00,Priya Shah,Enterprise
2024-11-29,East,Nimbus Headphones,Electronics,61,149.00,9089.00,Alex Rivera,Consumer
2024-12-03,North,Cascade Desk,Furniture,22,429.00,9438.00,Maya Chen,SMB
2024-12-06,South,Lumen Monitor,Electronics,34,379.00,12886.00,Jordan Lee,Enterprise
2024-12-10,West,Harbor Chair,Furniture,44,189.00,8316.00,Sam Ortiz,Consumer
2024-12-13,East,Pulse Keyboard,Electronics,98,89.00,8722.00,Alex Rivera,SMB
2024-12-17,North,Aurora Laptop,Electronics,26,1299.00,33774.00,Maya Chen,Enterprise
2024-12-20,South,Nimbus Headphones,Electronics,70,149.00,10430.00,Jordan Lee,Consumer
2024-12-23,West,Cascade Desk,Furniture,16,429.00,6864.00,Priya Shah,SMB
2024-12-27,East,Lumen Monitor,Electronics,40,379.00,15160.00,Alex Rivera,Enterprise
